"county_fips_code","county_name","state","total_pop","confirmed_rate","mortality_rate","white_pop_per_1000","black_pop_per_1000","asian_pop_per_1000","hispanic_pop_per_1000","amerindian_pop_per_1000","other_race_pop_per_1000","two_or_more_races_pop_per_1000"
"06091","Sierra County","CA",2885,0.0138648180242634,0,0.000869670710571924,1.38648180242634e-06,0,0.00010051993067591,9.7053726169844e-06,0,1.87175043327556e-05
"06003","Alpine County","CA",1203,0.0590191188694929,0,0.000645885286783042,1.49625935162095e-05,6.65004156275977e-06,9.72568578553616e-05,0.000206151288445553,0,2.9093931837074e-05
"06049","Modoc County","CA",9017,0.0311633581013641,0.000332704890761894,0.000780192968836642,7.20860596650771e-06,1.06465565043806e-05,0.000146057447044472,4.00354885216813e-05,4.43606521015859e-07,1.45281135632694e-05
"06043","Mariposa County","CA",17658,0.018122097632801,0.000226526220410012,0.000810340921961717,1.21757843470382e-05,9.51410125722052e-06,0.000105901008041681,2.35587269226413e-05,0,3.53380903839619e-05
"06099","Stanislaus County","CA",535684,0.0791754093831438,0.00139821237893982,0.000433520508359406,2.5401169346107e-05,5.3539026739645e-05,0.000449548614481672,4.17036909819968e-06,1.65956048715287e-06,2.57521225199931e-05
"06057","Nevada County","CA",98838,0.0323660940124244,0.000738582326635505,0.000853811287156762,5.47360326999737e-06,1.10281470689411e-05,9.21609097715454e-05,6.77876929925737e-06,2.03363078977721e-06,2.78030716930735e-05
"06015","Del Norte County","CA",27442,0.0306100138473872,7.28809853509219e-05,0.000627979010276219,1.76371984549231e-05,2.70024050725166e-05,0.000192442241819109,7.16055681072808e-05,4.88302601851177e-06,5.76852999052547e-05
"06113","Yolo County","CA",212605,0.0499517885280214,0.000616166129677101,0.000475271042543684,2.21302415277157e-05,0.000135838762023471,0.00031413654429576,2.57754991651184e-06,1.93786599562569e-06,4.41193763081771e-05
"06007","Butte County","CA",225207,0.0420679641396582,0.000537283476978957,0.000729035953589364,1.457325926814e-05,4.37464199603032e-05,0.000157388535880323,7.27774891544224e-06,1.63849258682013e-06,4.47455008059252e-05
"06089","Shasta County","CA",178919,0.0536555648086564,0.0006539271961055,0.000804380753301773,1.09043757230926e-05,2.90354853313511e-05,9.6233491132859e-05,2.18925882661987e-05,5.92446861428915e-07,3.62678083378512e-05
"06031","Kings County","CA",150183,0.128290152680397,0.000952171683879001,0.000331116038433112,5.93675715626935e-05,3.63756217414754e-05,0.000537444317932123,7.99025189269092e-06,1.40495262446482e-06,2.40906094564631e-05
"06103","Tehama County","CA",63247,0.0609356965547773,0.000664063117618227,0.000692190933957342,5.94494600534413e-06,1.43406011352317e-05,0.000242161683558113,1.50362863060699e-05,4.11086691858902e-07,2.95191866807912e-05
"06045","Mendocino County","CA",87497,0.0333611438106449,0.000365726824919712,0.000659245459844338,6.40021943609495e-06,1.70863001017178e-05,0.000244602672091615,3.2606832234248e-05,2.80009600329154e-06,3.51326331188498e-05
"06023","Humboldt County","CA",135490,0.0172927891357296,0.000177134843899919,0.000748837552586907,1.02516790907078e-05,2.86810834747952e-05,0.000110605948778508,4.57303122001624e-05,2.67178389549044e-06,5.0564617314931e-05
"06115","Yuba County","CA",74644,0.0625770323133809,0.000361716949788329,0.000562911955415037,3.22463962274262e-05,6.29655431113017e-05,0.000274355607952414,9.659182251755e-06,1.68801243234553e-06,5.27302931246986e-05
"06055","Napa County","CA",141005,0.0539058898620616,0.000276585936668912,0.000531966951526542,2.04035317896528e-05,7.7585901209177e-05,0.000337200808481969,2.8013191021595e-06,3.49632991737882e-06,2.45665047338747e-05
"06051","Mono County","CA",14058,0.0783183952198037,0.000284535495803101,0.000660691421254802,3.77009531939109e-06,1.97752169583156e-05,0.000271375729122208,2.23360364205435e-05,0,2.20515009247404e-05
"06093","Siskiyou County","CA",43530,0.026280725936136,0.000298644612910636,0.000771582816448426,1.5368711233632e-05,1.5759246496669e-05,0.000119871353089823,2.89915001148633e-05,8.04043188605559e-07,4.47048012864691e-05
"06069","San Benito County","CA",58671,0.0845903427587735,0.000732900410765114,0.000355746450546266,7.44831347684546e-06,2.66571219171311e-05,0.00058906444410356,3.03386681665559e-06,1.48284501712942e-06,1.49818479316869e-05
"06029","Kern County","CA",878744,0.090959369281611,0.000642963138297388,0.000353502271423759,5.12367652012418e-05,4.53010205475087e-05,0.000522230592755114,4.79548082262866e-06,1.13343590397203e-06,2.06294438425753e-05
"06009","Calaveras County","CA",45057,0.03588787535788,0.000510464522715671,0.000819672858823268,5.72608029828883e-06,1.16962958030939e-05,0.000114654770623876,8.67789688616641e-06,1.24287014226424e-06,3.37128526089176e-05
"06019","Fresno County","CA",971616,0.0848946497381682,0.000959226690379738,0.000302256241148767,4.65379326812239e-05,9.89362052498106e-05,0.000524324424463986,4.31960774627013e-06,1.8515545235978e-06,2.0419589632118e-05
"06087","Santa Cruz County","CA",273263,0.0450042632921398,0.000413521040170093,0.000578153646853032,8.0654900224326e-06,4.39942473002199e-05,0.000333363828985263,1.59553250897487e-06,1.68335998653312e-06,3.25400804353315e-05
"06017","El Dorado County","CA",185015,0.0416560819393022,0.000237818555252277,0.000784547198875767,8.7236170040267e-06,4.2185768721455e-05,0.000125822230629949,5.696835391725e-06,1.12963813744831e-06,3.01543118125557e-05
"06063","Plumas County","CA",18724,0.0270241401409955,0.000267036957914975,0.000835291604358043,8.54518265327921e-06,7.90429395428327e-06,8.53984191412091e-05,1.82653279213843e-05,5.98162785729545e-06,3.56761375774407e-05
"06011","Colusa County","CA",21479,0.0748638204758136,0.000419013920573583,0.000363145397830439,8.65962102518739e-06,1.52707295497928e-05,0.000583779505563574,1.07081335257694e-05,2.5140835234415e-06,1.51776153452209e-05
"06079","San Luis Obispo County","CA",280119,0.0561975446149672,0.000481938033478629,0.000693830122198066,1.76996205184225e-05,3.56919737682913e-05,0.000221955668840743,4.41598035120788e-06,3.89120338142004e-07,2.50179388045795e-05
"06109","Tuolumne County","CA",53899,0.0615595836657452,0.000723575576541309,0.000808271025436465,1.71431751980556e-05,1.10020594074102e-05,0.00011846230913375,1.3228445796768e-05,7.23575576541309e-07,2.90543423811202e-05
"06107","Tulare County","CA",458809,0.0897889971643974,0.00109195765558217,0.00029505088173946,1.30184891752341e-05,3.18694707383683e-05,0.000636140529065472,6.60187572606466e-06,1.5496644573232e-06,1.46226425375265e-05
"06105","Trinity County","CA",13037,0.0199432384751093,0.00030681905346322,0.000828104625297231,7.97729539004372e-06,1.08153716345785e-05,7.18723632737593e-05,4.27245531947534e-05,1.07386668712127e-06,2.83807624453479e-05
"06005","Amador County","CA",37306,0.0808449043049375,0.000777354849085938,0.000792660698011044,2.04792794724709e-05,1.5145016887364e-05,0.000132498793759717,7.0766096606444e-06,2.6805339623653e-08,2.99951750388677e-05
"06025","Imperial County","CA",179957,0.14068360775074,0.00257283684435726,0.00011320482115172,2.28332323832916e-05,1.25752263040615e-05,0.000834132598342937,6.04033185705474e-06,7.66849858577327e-07,9.60229388131609e-06
"06039","Madera County","CA",154440,0.087043512043512,0.000841750841750842,0.000350589225589226,3.07757057757058e-05,1.96516446516447e-05,0.000568842268842269,1.06643356643357e-05,2.27272727272727e-06,1.5973840973841e-05
"06033","Lake County","CA",64095,0.0404243700756689,0.000468055230517201,0.0007170138076293,2.12497074654809e-05,1.43536937358608e-05,0.000194164911459552,3.19057648802559e-05,1.4041656915516e-06,1.94086902254466e-05
"06021","Glenn County","CA",27935,0.0692679434401289,0.000680150349024521,0.000524897082512977,7.58904599964203e-06,2.60962949704672e-05,0.000408340791122248,1.67531770180777e-05,0,1.33882226597458e-05
"06041","Marin County","CA",260814,0.0445029791345557,0.000590459101121872,0.000714616546657771,2.09459614897973e-05,5.65690492074812e-05,0.000158699302951529,1.49915265284839e-06,1.02103414693996e-05,3.63055664189806e-05
"06027","Inyo County","CA",18195,0.0479252541907117,0.0015938444627645,0.000635174498488596,9.45314646881011e-06,1.48392415498763e-05,0.00021401483924155,0.000107502061005771,8.24402308326463e-07,1.6323165704864e-05
"06035","Lassen County","CA",31470,0.150905624404194,0.000413091833492215,0.000661328249126152,8.60502065459167e-05,1.46806482364156e-05,0.000185224022878932,2.90117572291071e-05,5.08420718144264e-07,1.62376866857324e-05
"06061","Placer County","CA",374985,0.0460365081269917,0.00046135178740483,0.000738040188274198,1.43979092497033e-05,6.81840606957612e-05,0.000136354787524834,3.47747243223062e-06,8.42700374681654e-07,3.72201554728856e-05
"06077","San Joaquin County","CA",724153,0.0792719218176269,0.00103293088615251,0.000331656431720921,6.65259965780712e-05,0.000147506120944055,0.000408209314882352,2.30338063917432e-06,1.20692726537072e-06,3.73705556698653e-05
"06001","Alameda County","CA",1629615,0.0416896015316501,0.000468822390564643,0.000322088959662252,0.000107425987119657,0.000287402852821065,0.00022523172651209,3.07311849731378e-06,2.75463836550351e-06,4.40453726800502e-05
"06037","Los Angeles County","CA",10105722,0.0992125055488366,0.00137902071717389,0.000264897649074455,7.91214126016924e-05,0.00014274853394938,0.000484238434423587,1.97066572779263e-06,2.86570321249684e-06,2.16887026973432e-05
"06111","Ventura County","CA",847834,0.0729612164645438,0.000485944182469682,0.000461326155827674,1.58238523107118e-05,7.01941653672771e-05,0.000422540261419099,2.87674238117367e-06,1.02968269732047e-06,2.47796148774406e-05
"06047","Merced County","CA",267390,0.0894835259358989,0.00110699726990538,0.000288312951120087,2.99450241220689e-05,7.32749915853248e-05,0.000582108530610718,2.98066494633307e-06,1.81756984180411e-06,2.01391226298665e-05
"06095","Solano County","CA",434981,0.0582646138566972,0.000241389853809707,0.000389525059715252,0.000137619804083397,0.000148388090514298,0.000257707807927243,2.53114503851892e-06,2.13112756649141e-06,5.35954443987209e-05
"06053","Monterey County","CA",433168,0.0820674657407749,0.000577143279281941,0.000306116795331142,2.4519355077014e-05,5.58974808850146e-05,0.000579251006537879,2.4609389428582e-06,1.33435526169985e-06,2.58998818010564e-05
"06013","Contra Costa County","CA",1123678,0.046564051267356,0.000400470597448735,0.000449255035695279,8.28885143252782e-05,0.000158002559452085,0.000252744113527185,2.3743456755405e-06,3.32301602416351e-06,4.67892047365882e-05
"06097","Sonoma County","CA",500943,0.0480453864012472,0.000467119013540463,0.000638405966347469,1.39177511213851e-05,3.85692583786978e-05,0.000263538965511046,5.1942037317619e-06,4.82290400305025e-06,3.2650421305418e-05
"06085","Santa Clara County","CA",1911226,0.0490198438070642,0.000562989410985409,0.000325584729383129,2.37957206526073e-05,0.00034928417675356,0.000260698106869622,1.6240884123594e-06,2.35921863767027e-06,3.33764819021926e-05
"06075","San Francisco County","CA",864263,0.0339260155762771,0.000303148462910017,0.00040844048628716,5.08653037327758e-05,0.000338663115278567,0.000152672276841656,1.66037421479341e-06,5.05517417730483e-06,3.92588830020491e-05
"06073","San Diego County","CA",3283665,0.0652731018541782,0.000640442919725368,0.000462030383732811,4.70812339261161e-05,0.000114709935392313,0.000333608330935098,3.57070529423678e-06,1.98893614299875e-06,3.30143300245305e-05
"06065","Riverside County","CA",2355002,0.103673372676541,0.00106878890124085,0.000365719859261266,5.97918812807802e-05,6.10848738132706e-05,0.000479843753848192,4.06963560965129e-06,2.0292976396623e-06,2.49018896799238e-05
"06101","Sutter County","CA",95583,0.0803490160384169,0.000805582582676836,0.000473295460489836,1.84970130671772e-05,0.000151355366540075,0.00030245964240503,6.73759978238808e-06,1.70532416852369e-06,4.22773924233389e-05
"06071","San Bernardino County","CA",2121220,0.119180471615391,0.000735425839846881,0.000298204335241041,7.96640612477725e-05,6.73206928088553e-05,0.000522810458132584,3.26934499957572e-06,1.96584984112916e-06,2.39098254777911e-05
"06081","San Mateo County","CA",763450,0.0425895605475146,0.000385093981269238,0.00039917610845504,2.28659375204663e-05,0.000271886829523872,0.000248929202960246,1.29019582159932e-06,3.47108520531796e-06,3.85565524919772e-05
"06083","Santa Barbara County","CA",442996,0.0556167550045599,0.000521449403606353,0.000453103414026312,1.68601973832721e-05,5.19259767582552e-05,0.000448211722002005,2.90521810580682e-06,1.20994320490478e-06,2.4668394297014e-05
"06059","Orange County","CA",3155816,0.0677688433039189,0.000750043728785202,0.000413965199491986,1.57043376419918e-05,0.000195087102670118,0.000341962902780137,2.08630667947688e-06,1.67088322006099e-06,2.67620165434233e-05
"06067","Sacramento County","CA",1495400,0.0538625117025545,0.000722214792028889,0.0004574969907717,9.52360572422094e-05,0.000151030493513441,0.000227802594623512,3.80834559315233e-06,3.73144309214926e-06,5.03570950916143e-05
